,,,,SEKOLAH :,SMK TAMAN PERMAI SATU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LELAKI,SEK KEB (SK),Mata Pelajaran,,,,,,,,,,
,,,,ALAMAT :,"JALAN PERMAI 1, 47300 PETALING JAYA, SELANGOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PEREMPUAN,SEK JENIS KEB (SJK),AKUAKULTUR DAN HAIWAN REKREASI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,JANUARI,PENDIDIKAN KHAS,ALAT MUZIK UTAMA,,,,,,,,,,
,,,,PELAPORAN,PENTAKSIRAN PERTENGAHAN TAHUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FEBRUARI,INKLUSIF,APRESIASI TARI,,,,,,,,,,
,,,,TARIKH PELAPORAN:,21/6/2020,Nota Kepada Guru Kelas:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,MAC,,ASUHAN DAN PENDIDIKAN AWAL KANAK-KANAK,,,,,,,,,,
,,,,NAMA GURU:,KAMAL BIN ALIAS,"Sila tentukan terlebih dahulu mata pelajaran yang diambil oleh murid kelas ini, pilihan mata pelajaran adalah pada petak berwarna kuning. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,APRIL,SEK KEB (SJK),AURAL & TEORI MUZIK,,,,,,,,,,
,,,,TINGKATAN:,4 BESTARI,Maklumat dengan teks berwarna biru adalah secara automatik.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,MEI,BAHASA CINA,BAHASA ARAB,,,,,,,,,,
,,,,NAMA PENGETUA:,PUAN ROSMINI BT RAMLI,Bil. Mata Pelajaran Daftar:,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,47,48,49,50,,,7,JUN,BAHASA TAMIL,BAHASA IBAN,,,,,,,,,,
BIL, NAMA MURID," NAMA RINGKAS 
(RUJUKAN GURU)",NO. MY KID / NO. SURAT BERANAK,JANTINA,ULASAN GURU KELAS,MP 1,,MP 2,,MP 3,,MP 4,,MP 5,,MP 6,,MP 7,,MP 8,,MP 9,,MP 10,,MP 11,,MP 12,,MP 13,,MP 14,,MP 15,,MP 16,,MP 17,,MP 18,,MP 19,,,,,,,,,,8,JULAI,,BAHASA INGGERIS,,,,,,,,,,
,,,,,,BAHASA MELAYU,ULASAN GURU BAHASA MELAYU,BAHASA INGGERIS,ULASAN GURU BAHASA INGGERIS,MATEMATIK,ULASAN GURU MATEMATIK,SAINS,ULASAN GURU SAINS,ASAS KELESTARIAN,ULASAN GURU ASAS KELESTARIAN,AKUAKULTUR DAN HAIWAN REKREASI,ULASAN GURU AKUAKULTUR DAN HAIWAN REKREASI,,ULASAN GURU ,,ULASAN GURU ,PENDIDIKAN SENI VISUAL,ULASAN GURU PENDIDIKAN SENI VISUAL,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,ULASAN GURU ,,,,,,,,,9,OGOS,9,BAHASA INGGERIS ALIRAN KEMAHIRAN,,,,,,,,,,
1,ADLI AMRAN BIN HASHIM,Adli,123456-78-9013,L,"Adli merupakan seorang murid yang suka belajar, aktif dan rajin dalam pembelajarannya. Dia selalu bertanya dalam perkara yang kurang difahami dalam pembelajarannya. Dia boleh berkomunikasi dengan baik dan bekerjasama dengan rakan-rakannya. Dia seorang ketua kumpulan yang bertanggungjawab, rela membantu guru dan rakan kumpulan. ",5,Adli menunjukkan minat dalam aktiviti bercerita. Dia seorang murid yang ceria dan suka bertanya soalan semasa belajar bahasa Melayu. Dia juga selalu memimpin rakan kumpulan menjalankan aktiviti projek mudah. ,4,"Adli shows responsibility in his behaviour in class. He works well with his classmates. Adli also shows interest in other activities such as storytelling and language games. However, he needs more support in writing activities.",3,"Adli sangat berminat dalam Matematik. Dia mampu menyelesaikan pengiraan Matematik dengan betul dan yakin. Namun begitu, Adli perlu bimbingan dalam menyelesaikan masalah Matematik yang ditulis dalam bentuk ayat.",5,,6,Testing Ulasan Guru Asas Kelestarian,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,SEPTEMBER,10,BAHASA JERMAN,,,,,,,,,,
2,ADAM SYUKRAN BIN MOHD AZAHARI,Adam,111111-11-1111,L,Sekian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OKTOBER,11,BAHASA KADAZANDUSUN,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,NOVEMBER,12,BAHASA MELAYU,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,DISEMBER,13,BAHASA PERANCIS,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14,BAHASA SEMAI,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,BAHASA TAMIL,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,BIOLOGI,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,17,FIZIK,,,,,,,,,,
